[peak]id_number	mz	rtime	apex(scan number)	[EmpCpd]interim_id            	[EmpCpd]ion_relation	neutral_formula	neutral_formula_mass            	name_1st_guess	matched_DB_shorts	matched_DB_records
F35	162.06451034545898	53.044239	69	kp1_161.0575	M0,M+H+	None	161.05752094778077			
F372	163.06843948364258	53.6728812	71	kp1_161.0575	13C/12C,M+H+	None	161.05752094778077			
F71	186.18516540527344	564.522828	1608	kp2_185.1779	M0,M+H+	None	185.17789944204347			
F234	187.18854141235352	564.845346	1609	kp2_185.1779	13C/12C,M+H+	None	185.17789944204347			
F104	131.00146484375	827.95782	2443	kp3_129.9942	M0,M+H+	None	129.99415859231203			
F1757	173.03160095214844	829.84644	2449	kp3_129.9942	13C/12C,ACN	None	129.99415859231203			
F1231	168.95708465576172	829.2156600000001	2447	kp3_129.9942	M0,K/H	None	129.99415859231203			
F1587	172.02789306640625	828.58608	2445	kp3_129.9942	M0,ACN	None	129.99415859231203			
F373	132.00482177734375	828.27168	2444	kp3_129.9942	13C/12C,M+H+	None	129.99415859231203			
F288	188.07455444335938	45.1126728	44	kp4_186.0639	13C/12C,M+H+	None	186.06392963918702	Pyroglutamylglycine	(HMDB0061890$Pyroglutamylglycine)	('C7H10N2O4_186.064057', '', 1)
F150	187.0712127685547	44.4830688	42	kp4_186.0639	M0,M+H+	None	186.06392963918702	Pyroglutamylglycine	(HMDB0061890$Pyroglutamylglycine)	('C7H10N2O4_186.064057', '', 1)
F2461	204.0542449951172	828.58608	2445	kp5_162.0203	M0,ACN	None	162.0203303012964			
F543	164.03089904785156	828.27168	2444	kp5_162.0203	13C/12C,M+H+	None	162.0203303012964			
F187	163.02758026123047	827.95782	2443	kp5_162.0203	M0,M+H+	None	162.0203303012964			
F1973	146.9738311767578	842.07372	2487	kp6_145.9666	M0,M+H+	None	145.9666116363794			
F356	189.00397491455078	842.07372	2487	kp6_145.9666	13C/12C,ACN	None	145.9666116363794			
F241	188.00032806396484	842.07372	2487	kp6_145.9666	M0,ACN	None	145.9666116363794			
F2101	147.97722625732422	841.43322	2485	kp6_145.9666	13C/12C,M+H+	None	145.9666116363794			
F360	189.06515502929688	98.90244	209	kp7_187.0544	13C/12C,M+H+	None	187.05443104299562			
F267	188.06161499023438	99.53242800000001	211	kp7_187.0544	M0,M+H+	None	187.05443104299562			
F361	189.06515502929688	102.366168	220	kp8_187.0544	13C/12C,M+H+	None	187.05443104299562			
F268	188.06161499023438	102.05167200000001	219	kp8_187.0544	M0,M+H+	None	187.05443104299562			
F397	132.05248260498047	62.217936	98	kp9_130.0418	13C/12C,M+H+	None	130.04182728323			
F269	131.04907989501953	64.099938	104	kp9_130.0418	M0,M+H+	None	130.04182728323			
F363	189.06705474853516	99.84756	212	kp10_187.0563	13C/12C,M+H+	None	187.0563078740503			
F272	188.06346893310547	99.21742800000001	210	kp10_187.0563	M0,M+H+	None	187.0563078740503			
F1188	168.09263610839844	62.845434000000004	100	kp11_165.0787	13C/12C*2,M+H+	None	165.0787367256128	Benzyl glycinate	(HMDB0059934$Benzyl glycinate;HMDB0062402$4-Hydroxy-1-(3-pyridinyl)-1-butanone;HMDB0062407$5-(3-Pyridyl)-2-hydroxytetrahydrofuran;HMDB0000159$L-Phenylalanine;HMDB0001007$3-Pyridinebutanoic acid;HMDB0004992$Benzocaine;HMDB0006044$Norsalsolinol;HMDB0033485$Gentiatibetine;HMDB0033589$Ethyl 2-aminobenzoate;HMDB0034169$Methyl N-methylanthranilate)	('C9H11NO2_165.078979', '', 1)
F849	166.08612060546875	63.159174	101	kp11_165.0787	M0,M+H+	None	165.0787367256128	Benzyl glycinate	(HMDB0059934$Benzyl glycinate;HMDB0062402$4-Hydroxy-1-(3-pyridinyl)-1-butanone;HMDB0062407$5-(3-Pyridyl)-2-hydroxytetrahydrofuran;HMDB0000159$L-Phenylalanine;HMDB0001007$3-Pyridinebutanoic acid;HMDB0004992$Benzocaine;HMDB0006044$Norsalsolinol;HMDB0033485$Gentiatibetine;HMDB0033589$Ethyl 2-aminobenzoate;HMDB0034169$Methyl N-methylanthranilate)	('C9H11NO2_165.078979', '', 1)
F1078	167.0894012451172	61.276703999999995	95	kp11_165.0787	13C/12C,M+H+	None	165.0787367256128	Benzyl glycinate	(HMDB0059934$Benzyl glycinate;HMDB0062402$4-Hydroxy-1-(3-pyridinyl)-1-butanone;HMDB0062407$5-(3-Pyridyl)-2-hydroxytetrahydrofuran;HMDB0000159$L-Phenylalanine;HMDB0001007$3-Pyridinebutanoic acid;HMDB0004992$Benzocaine;HMDB0006044$Norsalsolinol;HMDB0033485$Gentiatibetine;HMDB0033589$Ethyl 2-aminobenzoate;HMDB0034169$Methyl N-methylanthranilate)	('C9H11NO2_165.078979', '', 1)
F274	188.06792449951172	62.217936	98	kp11_165.0787	M0,Na/H	None	165.0787367256128	Benzyl glycinate	(HMDB0059934$Benzyl glycinate;HMDB0062402$4-Hydroxy-1-(3-pyridinyl)-1-butanone;HMDB0062407$5-(3-Pyridyl)-2-hydroxytetrahydrofuran;HMDB0000159$L-Phenylalanine;HMDB0001007$3-Pyridinebutanoic acid;HMDB0004992$Benzocaine;HMDB0006044$Norsalsolinol;HMDB0033485$Gentiatibetine;HMDB0033589$Ethyl 2-aminobenzoate;HMDB0034169$Methyl N-methylanthranilate)	('C9H11NO2_165.078979', '', 1)
F366	189.07140350341797	61.904076	97	kp11_165.0787	13C/12C,Na/H	None	165.0787367256128	Benzyl glycinate	(HMDB0059934$Benzyl glycinate;HMDB0062402$4-Hydroxy-1-(3-pyridinyl)-1-butanone;HMDB0062407$5-(3-Pyridyl)-2-hydroxytetrahydrofuran;HMDB0000159$L-Phenylalanine;HMDB0001007$3-Pyridinebutanoic acid;HMDB0004992$Benzocaine;HMDB0006044$Norsalsolinol;HMDB0033485$Gentiatibetine;HMDB0033589$Ethyl 2-aminobenzoate;HMDB0034169$Methyl N-methylanthranilate)	('C9H11NO2_165.078979', '', 1)
F387	189.07344818115234	102.05167200000001	219	kp12_187.0631	13C/12C,M+H+	None	187.0630735706649	Indoleacrylic acid	(HMDB0000734$Indoleacrylic acid), (HMDB0033249$6-Chloro-N-(1-methylethyl)-1,3,5-triazine-2,4-diamine)	('C11H9NO2_187.063329', '', 1), ('C6H10ClN5_187.062473', '', 1)
F523	190.07720947265625	101.736798	218	kp12_187.0631	13C/12C*2,M+H+	None	187.0630735706649	Indoleacrylic acid	(HMDB0000734$Indoleacrylic acid), (HMDB0033249$6-Chloro-N-(1-methylethyl)-1,3,5-triazine-2,4-diamine)	('C11H9NO2_187.063329', '', 1), ('C6H10ClN5_187.062473', '', 1)
F279	188.0704574584961	101.736798	218	kp12_187.0631	M0,M+H+	None	187.0630735706649	Indoleacrylic acid	(HMDB0000734$Indoleacrylic acid), (HMDB0033249$6-Chloro-N-(1-methylethyl)-1,3,5-triazine-2,4-diamine)	('C11H9NO2_187.063329', '', 1), ('C6H10ClN5_187.062473', '', 1)
F280	188.0704574584961	186.535116	467	kp13_187.063	M0,M+H+	None	187.0629988530542	Indoleacrylic acid	(HMDB0000734$Indoleacrylic acid), (HMDB0033249$6-Chloro-N-(1-methylethyl)-1,3,5-triazine-2,4-diamine)	('C11H9NO2_187.063329', '', 1), ('C6H10ClN5_187.062473', '', 1)
F388	189.07344818115234	186.87035400000002	468	kp13_187.063	13C/12C,M+H+	None	187.0629988530542	Indoleacrylic acid	(HMDB0000734$Indoleacrylic acid), (HMDB0033249$6-Chloro-N-(1-methylethyl)-1,3,5-triazine-2,4-diamine)	('C11H9NO2_187.063329', '', 1), ('C6H10ClN5_187.062473', '', 1)
F418	132.07181549072266	293.770896	787	kp14_129.0578	13C/12C*2,M+H+	None	129.0578016590438	3-Methylene-indolenine	(HMDB0011664$3-Methylene-indolenine;HMDB0033731$Quinoline;HMDB0034244$Isoquinoline)	('C9H7N_129.057849', '', 1)
F3831	130.06517028808594	294.099762	788	kp14_129.0578	M0,M+H+	None	129.0578016590438	3-Methylene-indolenine	(HMDB0011664$3-Methylene-indolenine;HMDB0033731$Quinoline;HMDB0034244$Isoquinoline)	('C9H7N_129.057849', '', 1)
F292	131.0683135986328	294.099762	788	kp14_129.0578	13C/12C,M+H+	None	129.0578016590438	3-Methylene-indolenine	(HMDB0011664$3-Methylene-indolenine;HMDB0033731$Quinoline;HMDB0034244$Isoquinoline)	('C9H7N_129.057849', '', 1)
F295	188.07869720458984	101.736798	218	kp15_187.0717	M0,M+H+	None	187.07170780691163			
F396	189.08262634277344	101.107056	216	kp15_187.0717	13C/12C,M+H+	None	187.07170780691163			
F296	188.08184051513672	103.940154	225	kp16_187.0746	M0,M+H+	None	187.07461651357667	Amrinone	(HMDB0015496$Amrinone)	('C10H9N3O_187.074562', '', 1)
F399	189.08530044555664	103.940154	225	kp16_187.0746	13C/12C,M+H+	None	187.07461651357667	Amrinone	(HMDB0015496$Amrinone)	('C10H9N3O_187.074562', '', 1)
F325	131.08544158935547	503.795994	1421	kp17_130.0782	M0,M+H+	None	130.07819660696046			
F459	132.08885955810547	503.795994	1421	kp17_130.0782	13C/12C,M+H+	None	130.07819660696046			
F332	131.10663604736328	35.889237	15	kp18_130.0994	M0,M+H+	None	130.09935864004152	Heptanoic acid	(HMDB0000666$Heptanoic acid;HMDB0030028$Ethyl isovalerate;HMDB0030052$Butyl propionate;HMDB0031528$Isopentyl acetate;HMDB0031594$2-Methylhexanoic acid;HMDB0031595$5-Methylhexanoic acid;HMDB0031600$(±)-2-Pentanol acetate;HMDB0032204$cis- and trans-2-Isopropyl-4-methyl-1,3-dioxolane;HMDB0032874$Hexyl formate;HMDB0033745$Ethyl 2-methylbutyrate;HMDB0034166$2-Methylbutyl acetate;HMDB0034239$2-Methylpropyl propanoate;HMDB0035238$Methyl hexanoate;HMDB0036209$Propyl 2-methylpropanoate;HMDB0036237$Methyl (±)-2-methylpentanoate;HMDB0036238$Methyl 4-methylpentanoate;HMDB0038227$Isopropyl 2-methylpropanoate;HMDB0039095$Pentyl acetate;HMDB0039618$Propyl butyrate;HMDB0039619$Isopropyl butyrate;HMDB0040297$Ethyl pentanoate)	('C7H14O2_130.09938', '', 1)
F479	132.10998916625977	37.1514708	19	kp18_130.0994	13C/12C,M+H+	None	130.09935864004152	Heptanoic acid	(HMDB0000666$Heptanoic acid;HMDB0030028$Ethyl isovalerate;HMDB0030052$Butyl propionate;HMDB0031528$Isopentyl acetate;HMDB0031594$2-Methylhexanoic acid;HMDB0031595$5-Methylhexanoic acid;HMDB0031600$(±)-2-Pentanol acetate;HMDB0032204$cis- and trans-2-Isopropyl-4-methyl-1,3-dioxolane;HMDB0032874$Hexyl formate;HMDB0033745$Ethyl 2-methylbutyrate;HMDB0034166$2-Methylbutyl acetate;HMDB0034239$2-Methylpropyl propanoate;HMDB0035238$Methyl hexanoate;HMDB0036209$Propyl 2-methylpropanoate;HMDB0036237$Methyl (±)-2-methylpentanoate;HMDB0036238$Methyl 4-methylpentanoate;HMDB0038227$Isopropyl 2-methylpropanoate;HMDB0039095$Pentyl acetate;HMDB0039618$Propyl butyrate;HMDB0039619$Isopropyl butyrate;HMDB0040297$Ethyl pentanoate)	('C7H14O2_130.09938', '', 1)
F340	163.03863525390625	599.030988	1716	kp19_162.0314	M0,M+H+	None	162.03139790090577	3 Hydroxycoumarin	(HMDB0002149$3 Hydroxycoumarin;HMDB0029865$Umbelliferone;HMDB0136738$5-hydroxy-2H-chromen-2-one;HMDB0137904$4-hydroxy-2H-chromen-2-one;HMDB0140948$6-hydroxy-2H-chromen-2-one;HMDB0140949$8-hydroxy-2H-chromen-2-one)	('C9H6O3_162.031694', '', 1)
F554	164.0420684814453	599.6669820000001	1718	kp19_162.0314	13C/12C,M+H+	None	162.03139790090577	3 Hydroxycoumarin	(HMDB0002149$3 Hydroxycoumarin;HMDB0029865$Umbelliferone;HMDB0136738$5-hydroxy-2H-chromen-2-one;HMDB0137904$4-hydroxy-2H-chromen-2-one;HMDB0140948$6-hydroxy-2H-chromen-2-one;HMDB0140949$8-hydroxy-2H-chromen-2-one)	('C9H6O3_162.031694', '', 1)
F341	163.03863525390625	603.7977	1731	kp20_162.0314	M0,M+H+	None	162.03139790090577	3 Hydroxycoumarin	(HMDB0002149$3 Hydroxycoumarin;HMDB0029865$Umbelliferone;HMDB0136738$5-hydroxy-2H-chromen-2-one;HMDB0137904$4-hydroxy-2H-chromen-2-one;HMDB0140948$6-hydroxy-2H-chromen-2-one;HMDB0140949$8-hydroxy-2H-chromen-2-one)	('C9H6O3_162.031694', '', 1)
F555	164.0420684814453	603.4834800000001	1730	kp20_162.0314	13C/12C,M+H+	None	162.03139790090577	3 Hydroxycoumarin	(HMDB0002149$3 Hydroxycoumarin;HMDB0029865$Umbelliferone;HMDB0136738$5-hydroxy-2H-chromen-2-one;HMDB0137904$4-hydroxy-2H-chromen-2-one;HMDB0140948$6-hydroxy-2H-chromen-2-one;HMDB0140949$8-hydroxy-2H-chromen-2-one)	('C9H6O3_162.031694', '', 1)
F15556	164.0614528656006	53.6728812	71	kp21_162.0509	13C/12C,M+H+	None	162.05089386495607			
F362	163.05824279785156	53.6728812	71	kp21_162.0509	M0,M+H+	None	162.05089386495607			
F3405	184.04010391235352	53.6728812	71	kp22_161.0505	M0,Na/H	None	161.0505056770288	trans-S-(1-Propenyl)-L-cysteine	(HMDB0029440$trans-S-(1-Propenyl)-L-cysteine;HMDB0034323$S-Allylcysteine)	('C6H11NO2S_161.051049', '', 1)
F368	163.06080627441406	53.6728812	71	kp22_161.0505	13C/12C,M+H+	None	161.0505056770288	trans-S-(1-Propenyl)-L-cysteine	(HMDB0029440$trans-S-(1-Propenyl)-L-cysteine;HMDB0034323$S-Allylcysteine)	('C6H11NO2S_161.051049', '', 1)
F4006	162.05824279785156	53.9876142	72	kp22_161.0505	M0,M+H+	None	161.0505056770288	trans-S-(1-Propenyl)-L-cysteine	(HMDB0029440$trans-S-(1-Propenyl)-L-cysteine;HMDB0034323$S-Allylcysteine)	('C6H11NO2S_161.051049', '', 1)
F564	164.0646743774414	54.6174828	74	kp22_161.0505	13C/12C*2,M+H+	None	161.0505056770288	trans-S-(1-Propenyl)-L-cysteine	(HMDB0029440$trans-S-(1-Propenyl)-L-cysteine;HMDB0034323$S-Allylcysteine)	('C6H11NO2S_161.051049', '', 1)
